134,825.00,408.00,0,149758
7473,309,475.00,309.00,0,154146
7595,309,694.00,325.00,0,154155
7717,309,658.00,308.00,0,154164
7841,307,761.00,325.00,0,154172
7963,307,768.00,308.00,0,154180
8081,307,517.00,325.00,0,154189
8199,308,403.00,325.00,0,154198
8321,311,387.00,325.00,0,154207
8445,316,474.00,325.00,0,154215
8569,322,576.00,308.00,0,154223
8695,330,631.00,308.00,0,154232
8825,338,807.00,324.00,0,154241
8957,345,822.00,325.00,0,154249
9086,350,822.00,291.00,0,154258
9208,354,807.00,308.00,0,154266
9319,354,550.00,325.00,0,154275
9433,354,484.00,325.00,0,154284
9555,353,592.00,324.00,0,154292
9677,352,584.00,308.00,0,154301
9801,350,795.00,308.00,0,154309
9925,350,795.00,324.00,0,154317
10044,350,537.00,326.00,0,154327
10167,352,411.00,325.00,0,154336
10291,356,512.00,314.00,0,154344
10419,362,517.00,325.00,0,154353
10546,369,531.00,307.00,0,154362
10675,377,665.00,325.00,0,154371
10807,384,805.00,325.00,0,154380
10941,390,814.00,308.00,0,154389
11073,394,812.00,308.00,0,154397
11197,395,798.00,325.00,0,154406
11313,395,508.00,325.00,0,154415
11435,393,566.00,341.00,0,154424
11561,391,588.00,325.00,0,154433
11687,391,543.00,308.00,0,154441
11816,390,791.00,325.00,0,154450
11943,390,788.00,324.00,0,154460
12067,394,573.00,325.00,0,154468
12190,398,356.00,324.00,0,154477
12315,404,506.00,308.00,0,154485
12442,412,583.00,308.00,0,154494
12571,419,637.00,310.00,0,154504
12699,426,721.00,308.00,0,154512
12830,432,806.00,324.00,0,154521
12963,435,806.00,309.00,0,154530
13091,436,804.00,308.00,0,154539
13213,436,662.00,324.00,0,154548
13332,433,474.00,325.00,0,154557
13457,431,606.00,341.00,0,154565
13583,429,620.00,327.00,0,154574
13709,429,623.00,325.00,0,154583
13839,431,739.00,308.00,0,154592
13966,435,740.00,308.00,0,154601
14089,441,600.00,324.00,0,154609
14213,447,504.00,324.00,0,154618
14340,453,495.00,308.00,0,154628
14467,460,617.00,307.00,0,154636
14594,466,687.00,326.00,0,154645
14722,471,752.00,325.00,0,154653
14853,473,797.00,325.00,0,154662
14984,474,795.00,325.00,0,154672
15111,474,799.00,308.00,0,154680
15231,472,617.00,325.00,0,154689
15354,469,442.00,325.00,0,154698
15479,468,573.00,325.00,0,154706
15606,468,616.00,307.00,0,154716
15733,471,685.00,325.00,0,154725
15863,475,662.00,325.00,0,154733
15989,481,678.00,308.00,0,154742
16113,487,634.00,325.00,0,154750
16239,493,620.00,309.00,0,154760
16365,499,451.00,325.00,0,154769
16491,503,601.00,308.00,0,154777
16618,507,727.00,325.00,0,154786
16746,509,787.00,325.00,0,154796
16876,511,799.00,324.00,0,154804
17005,511,780.00,308.00,0,154813
17128,511,703.00,325.00,0,154822
17251,510,632.00,325.00,0,154830
17377,510,598.00,325.00,0,154840
17503,510,528.00,326.00,0,154848
17629,514,637.00,308.00,0,154857
17757,518,752.00,308.00,0,154866
17885,524,756.00,325.00,0,154874
18011,530,610.00,309.00,0,154884
18137,534,658.00,325.00,0,154893
18262,538,674.00,325.00,0,154901
18388,542,609.00,325.00,0,154910
18513,544,567.00,308.00,0,154918
18641,546,694.00,308.00,0,154928
18769,548,794.00,341.00,0,154937
18899,550,797.00,308.00,0,154945
19026,551,703.00,326.00,0,154954
19149,552,631.00,341.00,0,154963
19274,552,679.00,308.00,0,154972
19400,554,599.00,308.00,0,154981
19525,556,498.00,325.00,0,154990
19652,560,614.00,308.00,0,154998
19781,564,790.00,308.00,0,155008
19909,568,790.00,325.00,0,155016
20035,572,587.00,325.00,0,155025
20159,575,612.00,325.00,0,155034
20285,578,698.00,324.00,0,155042
20411,580,634.00,324.00,0,155052
20537,582,555.00,308.00,0,155061
20664,586,632.00,325.00,0,155069
20793,588,792.00,308.00,0,155078
20923,590,799.00,324.00,0,155086
21049,592,707.00,308.00,0,155096
21171,593,574.00,325.00,0,155105
21297,594,675.00,308.00,0,155113
21423,596,658.00,324.00,0,155122
21549,598,537.00,308.00,0,155131
21675,601,581.00,325.00,0,155140
21804,604,784.00,325.00,0,155149
21932,608,780.00,308.00,0,155158
22056,612,634.00,307.00,0,155166
22181,614,555.00,324.00,0,155175
22308,617,673.00,308.00,0,155184
22435,620,684.00,325.00,0,155193
22561,622,635.00,342.00,0,155202
22687,625,569.00,324.00,0,155210
22817,628,787.00,308.00,0,155219
22945,630,798.00,325.00,0,155229
23071,632,693.00,325.00,0,155237
23194,632,574.00,307.00,0,155246
23321,634,633.00,308.00,0,155255
23446,635,661.00,308.00,0,155264
23573,638,603.00,326.00,0,155273
23699,641,741.00,322.00,0,155281
23827,645,761.00,325.00,0,155290
23955,649,780.00,325.00,0,155299
24079,652,678.00,341.00,0,155308
24205,655,604.00,324.00,0,155317
24331,657,623.00,341.00,0,155326
24458,660,664.00,325.00,0,155334
24584,662,655.00,309.00,0,155343
24711,665,650.00,325.00,0,155352
24841,668,742.00,325.00,0,155361
24967,670,773.00,321.00,0,155370
25092,671,704.00,308.00,0,155378
25217,672,607.00,308.00,0,155387
25343,674,564.00,308.00,0,155397
25469,676,656.00,324.00,0,155405
25595,678,646.00,307.00,0,155414
25722,682,667.00,324.00,0,155423
25851,686,708.00,325.00,0,155431
25977,689,726.00,325.00,0,155441
26102,692,694.00,342.00,0,155449
26228,694,675.00,341.00,0,155458
26355,696,545.00,325.00,0,155467
26481,698,643.00,308.00,0,155475
26607,701,678.00,325.00,0,155485
26735,704,716.00,325.00,0,155494
26863,706,675.00,308.00,0,155502
26990,708,719.00,308.00,0,155511
27115,710,691.00,308.00,0,155521
27240,712,655.00,308.00,0,155529
27366,713,466.00,309.00,0,155538
27493,715,614.00,325.00,0,155546
27618,718,654.00,308.00,0,155555
27745,722,739.00,308.00,0,155565
27874,725,725.00,325.00,0,155573
28000,728,651.00,307.00,0,155582
28125,731,673.00,325.00,0,155591
28251,734,708.00,325.00,0,155599
28378,736,623.00,307.00,0,155609
28505,738,568.00,309.00,0,155617
28631,742,691.00,308.00,0,155626
28758,744,766.00,308.00,0,155635
28887,747,764.00,325.00,0,155643
29013,749,630.00,325.00,0,155653
29138,750,678.00,325.00,0,155662
29263,751,715.00,325.00,0,155670
29389,752,626.00,325.00,0,155679
29515,755,620.00,325.00,0,155688
29641,758,661.00,325.00,0,155697
29769,762,783.00,325.00,0,155706
29897,766,760.00,325.00,0,155714
30023,769,598.00,325.00,0,155723
30149,772,636.00,308.00,0,155732
30275,774,728.00,324.00,0,155741
30401,776,644.00,325.00,0,155750
30527,778,538.00,324.00,0,155759
30653,780,646.00,325.00,0,155767
30781,783,780.00,308.00,0,155777
30909,786,782.00,308.00,0,155785
31035,787,603.00,326.00,0,155794
31160,789,625.00,325.00,0,155803
31286,790,721.00,325.00,0,155811
31412,792,675.00,325.00,0,155821
31538,796,552.00,324.00,0,155830
31665,799,610.00,325.00,0,155838
31793,802,778.00,325.00,0,155847
31921,806,764.00,308.00,0,155856
32045,808,589.00,308.00,0,155865
32171,810,577.00,307.00,0,155874
32298,812,703.00,325.00,0,155882
32424,814,669.00,308.00,0,155891
32551,816,578.00,308.00,0,155900
32677,819,576.00,308.00,0,155909
32805,822,783.00,326.00,0,155918
32932,824,795.00,325.00,0,155927
33058,826,658.00,325.00,0,155935
33183,828,564.00,324.00,0,155944
33309,830,687.00,325.00,0,155954
33436,832,701.00,324.00,0,155962
33561,834,605.00,324.00,0,155971
33687,838,533.00,325.00,0,155979
33817,841,750.00,325.00,0,155988
33943,844,762.00,308.00,0,155998
34069,846,634.00,308.00,0,156006
34194,848,635.00,308.00,0,156015
34321,850,660.00,308.00,0,156024
34447,852,679.00,326.00,0,156033
34573,855,640.00,307.00,0,156042
34700,858,647.00,318.00,0,156050
34827,860,741.00,325.00,0,156059
34955,862,773.00,341.00,0,156068
35081,864,685.00,324.00,0,156077
35206,866,616.00,325.00,0,156086
35332,868,628.00,326.00,0,156095
35459,870,668.00,325.00,0,156103
35585,873,643.00,308.00,0,156112
35711,876,601.00,308.00,0,156122
35839,880,693.00,325.00,0,156130
35967,882,718.00,308.00,0,156139
36092,884,671.00,325.00,0,156147
36217,887,617.00,307.00,0,156156
36345,889,600.00,325.00,0,156166
36471,891,665.00,320.00,0,156174
36597,894,681.00,324.00,0,156183
36723,896,668.00,325.00,0,156192
36851,899,692.00,325.00,0,156200
36979,901,723.00,341.00,0,156210
37103,903,695.00,325.00,0,156219
37229,905,675.00,308.00,0,156227
37356,907,557.00,308.00,0,156236
37482,909,657.00,308.00,0,156244
37608,912,667.00,325.00,0,156254
37735,915,678.00,308.00,0,156263
37863,918,624.00,308.00,0,156271
37989,921,665.00,324.00,0,156280
38115,923,675.00,325.00,0,156290
38241,925,703.00,308.00,0,156298
38368,927,499.00,308.00,0,156307
38493,930,627.00,308.00,0,156315
38620,932,689.00,325.00,0,156324
38747,935,729.00,309.00,0,156334
